"filename", "language", "Python", "pip requirements", "Markdown", "TXT", "JSON", "XML", "YAML", "comment", "blank", "total"
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/README.md", "Markdown", 0, 0, -106, 0, 0, 0, 0, 0, -59, -165
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/docs/FD_RNN_Implementation_writeup.txt", "TXT", 0, 0, 0, -137, 0, 0, 0, -37, -67, -241
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/docs/RNN Implementation.txt", "TXT", 0, 0, 0, -137, 0, 0, 0, -37, -67, -241
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/docs/dir_tree.txt", "TXT", 0, 0, 0, -60, 0, 0, 0, -4, -2, -66
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/docs/onboarding_raw.md", "Markdown", 0, 0, -70, 0, 0, 0, 0, 0, -21, -91
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/docs/project_structure.md", "Markdown", 0, 0, -64, 0, 0, 0, 0, 0, -22, -86
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/notebooks/1.0-jh-initial-data-exploration.ipynb", "JSON", 0, 0, 0, 0, -121, 0, 0, 0, -1, -122
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/notebooks/2.0-jh-initial-rnn-exploration.ipynb", "JSON", 0, 0, 0, 0, -202, 0, 0, 0, -1, -203
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/notebooks/3.0-jh-initial-rnn-exploration.ipynb", "JSON", 0, 0, 0, 0, -3024, 0, 0, 0, -1, -3025
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/notebooks/config/rnn_ff-mw_v1/20231020_1700_config_4b1b7e97ec515d9a4dbee184212e1d3b.yaml", "YAML", 0, 0, 0, 0, 0, 0, -16, 0, -1, -17
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/notebooks/config/rnn_ff-mw_v1/20231020_1701_config_971fce5d8c82c2d1bf8db68939c8162d.yaml", "YAML", 0, 0, 0, 0, 0, 0, -16, 0, -1, -17
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/notebooks/models/rnn_ff-mw_v1/20231020_1700_model_2c92c2793be07eaf3765665d6287ded4_4b1b7e97ec515d9a4dbee184212e1d3b.pt", "XML", 0, 0, 0, 0, 0, -149, 0, 0, -1, -150
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/notebooks/models/rnn_ff-mw_v1/20231020_1701_model_2c92c2793be07eaf3765665d6287ded4_971fce5d8c82c2d1bf8db68939c8162d.pt", "XML", 0, 0, 0, 0, 0, -149, 0, 0, -1, -150
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/JawanHaider/Documents/Projects/Collaborative/Dogar/flywasp-fd/setup.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"Total", "-", 0, 0, -240, -334, -3347, -298, -32, -78, -247, -4576